,season,mnth,holiday,workingday,weathersit,temp,cnt
0,1,1,0,0,2,0.344167,985
1,1,1,0,0,2,0.363478,801
2,1,1,0,1,1,0.196364,1349
3,1,1,0,1,1,0.2,1562
4,1,1,0,1,1,0.226957,1600
5,1,1,0,1,1,0.204348,1606
6,1,1,0,1,2,0.196522,1510
7,1,1,0,0,2,0.165,959
8,1,1,0,0,1,0.138333,822
9,1,1,0,1,1,0.150833,1321
10,1,1,0,1,2,0.169091,1263
11,1,1,0,1,1,0.172727,1162
12,1,1,0,1,1,0.165,1406
13,1,1,0,1,1,0.16087,1421
14,1,1,0,0,2,0.233333,1248
15,1,1,0,0,1,0.231667,1204
16,1,1,1,0,2,0.175833,1000
17,1,1,0,1,2,0.216667,683
18,1,1,0,1,2,0.292174,1650
19,1,1,0,1,2,0.261667,1927
20,1,1,0,1,1,0.1775,1543
21,1,1,0,0,1,0.0591304,981
22,1,1,0,0,1,0.0965217,986
23,1,1,0,1,1,0.0973913,1416
24,1,1,0,1,2,0.223478,1985
25,1,1,0,1,3,0.2175,506
26,1,1,0,1,1,0.195,431
27,1,1,0,1,2,0.203478,1167
28,1,1,0,0,1,0.196522,1098
29,1,1,0,0,1,0.216522,1096
30,1,1,0,1,2,0.180833,1501
31,1,2,0,1,2,0.192174,1360
32,1,2,0,1,2,0.26,1526
33,1,2,0,1,1,0.186957,1550
34,1,2,0,1,2,0.211304,1708
35,1,2,0,0,2,0.233333,1005
36,1,2,0,0,1,0.285833,1623
37,1,2,0,1,1,0.271667,1712
38,1,2,0,1,1,0.220833,1530
39,1,2,0,1,2,0.134783,1605
40,1,2,0,1,1,0.144348,1538
41,1,2,0,1,1,0.189091,1746
42,1,2,0,0,1,0.2225,1472
43,1,2,0,0,1,0.316522,1589
44,1,2,0,1,1,0.415,1913
45,1,2,0,1,1,0.266087,1815
46,1,2,0,1,1,0.318261,2115
47,1,2,0,1,1,0.435833,2475
48,1,2,0,1,1,0.521667,2927
49,1,2,0,0,1,0.399167,1635
50,1,2,0,0,1,0.285217,1812
51,1,2,1,0,2,0.303333,1107
52,1,2,0,1,1,0.182222,1450
53,1,2,0,1,1,0.221739,1917
